OG,Pven,Acal,Lhet,Aful,Ajap,Pqin,Tele,Gfla,Asoj,Vvel,Ppup,Btre,Cchi,Csol,Pvin,Lbou,Hheb,Nvit,Tdro
OG0006914,267.4647204154027,589.2125435161656,185.773370603191,428.9820164749193,634.4916415292508,160.0059885648379,673.4148117972691,345.2178733593652,258.4506552248174,161.1338883868792,477.5200767780591,11.62779610059016,115.0126310896863,54.50877168743065,291.3153059867195,232.6615443799131,173.0806395530857,777.121748479265,62.011662
OG0000267.fa.orthosnap.1.fa,2089.784679797786,3838.698062063712,1059.948952819318,3509.152969172829,5187.888840268244,5999.003915876868,9205.357961902351,1077.370488287584,2306.558532736484,13177.42649823495,4209.65190953403,642.2429009278576,1531.029410815449,379.4021703705426,2040.235735548954,1724.566325316765,3676.01786333724,486.930149729911,6708.668877999999
OG0000482.fa.orthosnap.1.fa,130.1574959379706,454.4917350088234,61.71463599033837,231.0575956941719,440.2468759656531,67.73499164615492,332.7761492819398,81.48149524822138,259.5549933995828,33.02550953438763,79.79253421373767,17.163774111641438,165.6058269319908,541.2445606587523,154.5586306327019,388.3983012980436,173.5453704196602,35.0565686213962,136.53068
OG0000504.fa.orthosnap.0.fa,80.92693616091248,205.8713333251195,0.3749761856858477,1160.853413142394,1748.124048381236,0.0,378.7310265524805,11.1115433440263,201.44519960896045,349.1591036607997,1.780699774696802,0.516667779105326,11.97073724502133,0.0,536.3160401374913,0.8830671134474108,201.2640840874415,2.484028841026722,92.707196
OG0000576.fa.orthosnap.0.fa,62.90708915096556,549.7257627543139,4.52044608465031,0.0,0.3085064643085081,0.0,832.097247583124,39.01946414060217,1381.263842794312,903.698045295836,10.22529161377989,0.0,128.2544001170823,139.9431890033848,29.30412283979451,7.613694268754407,791.7521665982794,1.639057305345934,640.214318
OG0000777.fa.orthosnap.1.fa,596.8396535350536,1378.360594258194,89.0054157014861,1606.574851500024,1403.192858517485,2097.063486134567,510.4027645685908,498.4274355321539,55.800699223955895,2220.249905774478,666.1292166783275,121.78374085687298,286.0546341305777,111.7503604463175,494.444490474677,279.2857436833395,619.0202290349276,206.392015505824,972.90044
OG0000828.fa.orthosnap.0.fa,1218.967088107442,1803.775523035471,630.4281412705297,401.8243647016904,498.4465401469249,944.8770967494248,748.3497276540761,425.6450841491194,548.484631931877,1647.202612196355,617.6703359544747,19.633768170737557,1738.68754777057,98.61304292580834,652.9976615463783,447.5145935216927,453.0382757303984,386.3103851004568,0.0
OG0000991.fa.orthosnap.0.fa,1046.021024850593,4614.763414510174,686.5106767978748,1377.070519493314,2345.595850955431,1976.218363253805,8444.981156835496,1666.825712296229,1808.614086435485,3668.477845101569,1222.254995109799,1395.0262044872902,824.2435097102694,25.13045407078759,1266.821264505076,742.3249917417218,1594.010355214639,871.966850134566,2492.63967
OG0001115.fa.orthosnap.0.fa,221.852344961238,232.0623931241454,276.9003732970262,44.91180301071665,53.61413160174743,77.15976896117435,296.6909570815981,16.79384770961052,85.84766002365843,87.21803623301393,52.79576180315676,1.57423030061503,39.09265549501826,19.17824114377311,146.5325662843143,355.0961059556132,65.71233486476599,58.13469067805426,0.0
OG0001306.fa.orthosnap.0.fa,263.5781428740589,127.1758081656058,13.0012384148192,64.00913305859173,179.2595875870808,15.11564264263447,2980.687688716878,209.6618131264704,1036.4679793335265,2633.745331129675,16.80956609074442,47.52197127552401,303.7373846968406,115.5685935487164,60.63198888474895,48.01736457920666,568.0554938972101,122.2201216213053,0.334166
OG0001432.fa.orthosnap.0.fa,959.2807419399892,4367.250381414979,578.4502542277322,4774.454777809683,8057.999001010981,665.7483556124236,3648.53467808492,274.3652967310239,9479.614937827908,334.5855321152296,1883.759329926989,103.48933943936814,1605.303418684002,34.40949986907217,3375.042670061337,1252.864453484595,2842.450887760658,2756.312615225771,0.0
OG0001604.fa.orthosnap.0.fa,537.5017490552643,1150.739099422929,18.8769973633345,18.09460318144295,20.15156034218553,634.1602940664548,149.7889936536414,1.662604280855505,1.1845238285293995,149.2333894724172,619.72968624188,2.066061384581178,22.90505788650531,128.5305876520081,244.5531201117666,6.369978413098392,5.085925417744068,15.67548490646571,67.119628
OG0001609.fa.orthosnap.0.fa,0.8256709350478776,0.7839504195674681,14.80183276090149,0.0,0.0,2.025926445018245,0.0,61.88802522163316,850.7650664404639,1.084593753193138,0.0,8.248927594364744,11.37089921567841,0.0,0.1979130307850936,33.17654192201801,73.10398431058918,0.4357302949324589,28.833752
OG0001779.fa.orthosnap.0.fa,757.8884331026512,1022.420699467291,132.0230256231258,155.2944404644221,377.331363612455,276.6012320742426,1162.080541245945,256.5302993939532,610.144247037724,2967.66974513621,267.8953627977005,155.043529989951,630.4325671300745,1230.629112780516,114.6298324325531,301.1055593325705,766.3628464886997,191.017168635683,0.0
OG0001805.fa.orthosnap.0.fa,88.37033447676374,187.0642738924768,83.61226685881408,44.2766142849703,64.1009287412542,129.1766586587841,707.3458712443552,66.54783406509107,79.99570149034969,374.3505856195896,93.04718854036652,21.678606892148046,87.3918899804415,43.04652513968503,140.0096747775018,208.8617070919405,0.2291097789681917,30.63468654966791,63.96892
OG0001823.fa.orthosnap.0.fa,247.1696961198511,399.6434370862056,82.96348108299394,95.90034301172444,129.5995795092313,1272.639151349581,353.6880440809051,333.291302504518,103.40316640060804,436.8075902571193,254.3574581784946,70.99179515165187,461.4623270983786,390.5656139316537,125.81586106553,109.0917387761826,155.4653043911033,92.72507064819504,175.819054
OG0001890.fa.orthosnap.0.fa,0.0,395.7758204804223,80.42128077604895,159.7586786778548,231.3082903811325,189.7732775074281,184.8925640610555,34.20881176282855,130.83795432666426,130.9852359111439,86.0573839283826,35.49745904065156,209.1507945310322,2.26796085060908,219.0226545519995,123.651407819483,22.73437244219791,52.85898863137802,86.548994
OG0001910.fa.orthosnap.0.fa,588.4555446336304,943.7327016082604,322.6124226417176,508.8963043439375,667.7072876573172,1549.124345981507,935.1220888175988,375.5216875714782,468.5243555917636,35.53175939819474,760.30468254199,50.1734987254899,544.051457307883,1.66875110035895,298.242349479096,924.4821318970954,820.9741958007276,1013.811722756288,0.0
