GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0042810,689.2412439999999,9788.9760859201,277.74258342633,904.15414987568,7620.9832625598,309.725420466,387.680575053,411.96092137674,951.62910816196,175.253000763056,283.12318490688,1487.55705014121,1316.0073964752,202.26318351261,727.4591600768699,637.40887060388,413.44036807612,34.726043598768,1172.4985843662
GO:0042811,689.2412439999999,9788.9760859201,277.74258342633,904.15414987568,7620.9832625598,309.725420466,387.680575053,411.96092137674,951.62910816196,175.253000763056,283.12318490688,1487.55705014121,1316.0073964752,202.26318351261,727.4591600768699,637.40887060388,413.44036807612,34.726043598768,1172.4985843662
GO:0044550,1598.411454,10610.131280419,705.1413964557601,2343.6196319328,10008.9731378367,1553.145388179,1254.7698987395,2667.6066168156,1821.59482981068,940.0429943865,1158.28114902048,2631.6504765393,2031.61496920224,777.47717598364,1492.74824181249,1408.54374832174,853.8293849492001,293.12751132576005,2792.6580995481
GO:0036038,49.21787800000001,14.0946366660115,1639.0753858545,55.241583354772,151.38994739508,18.63353058798,55.90667125105001,161.84249458518,65.081855156519,33.645584792537,49.404031240864,465.44966041482,10.9505720526624,9.4935229112955,89.99130359622,103.888191401154,80.97377489028,9.3104868039924,112.10736166602
GO:1904491,13.462116,8.8822781363888,1595.616445533,16.1366606119674,42.574700571498,28.6875520701,8.501481569805,65.453731477608,8.8428629045525,6.1438489526005,9.0786132683808,42.165610765848,7.9731560929728,23.09996748389,8.0343027041277,18.9599560986378,19.649904869636,1.2988896526692,24.952540143594
GO:0032230,570.3258860000001,135.155615584116,148.376063852181,352.22323161944,772.06343061078,134.5792450464,68.94702560365,2603.3242944072,649.22841646928,160.971527082191,170.8867573068,428.94520208868,132.400018594176,99.02317984383,181.499420866179,375.10609702842,651.64513930276,64.391855744408,868.62178294542
GO:0007311,60.10214200000001,7594.3036947412,545.85651524745,183.313020532444,5350.8119335308,21.64168942782,52.8277788714,2.5469077340142,111.149128418038,87.87321040843099,164.792717347032,292.38640530567,8159.0732372928,18.788079493964,166.157544299799,70.133312797282,0.7269829526075999,56.92303319156,116.76345418395
GO:0010872,370.351404,164.120405758584,148.794092598162,1967.5588767728,4495.4138077614,176.0759390544,181.7558952925,437.8154519233801,739.8872175356,104.751919184526,261.87704123368,839.7461061817799,184.654549392192,91.831646850482,207.27404938851,317.1994118225,154.39418488388,18.3177603192128,529.66804144464
GO:0010873,287.525974,60.752418931634,132.748635185661,1867.65465806246,4460.526894871799,11.32672914681,161.5355895085,77.896729388244,673.0912834552499,71.85609061588599,166.251495245696,681.71458620852,143.462593870176,67.824853237801,82.098504288801,265.75527940394,143.91032552004,14.21870817554,410.47222861848
GO:0031670,4505.751130000001,3284.729761485899,1415.91994840461,6575.711919629201,9919.590020955,14622.13526697,4419.693601604999,3011.8697846166,4679.5205958592,6614.0389887588,5006.258734620001,7753.48156671,2671.62517294272,397.86744304461,4467.587689757401,7008.5344473628,6644.391761674799,233.78972507076,3226.0431064428
GO:0032896,287.525974,60.752418931634,132.748635185661,1867.65465806246,4460.526894871799,11.32672914681,161.5355895085,77.896729388244,673.0912834552499,71.85609061588599,166.251495245696,681.71458620852,143.462593870176,67.824853237801,82.098504288801,265.75527940394,143.91032552004,14.21870817554,410.47222861848
GO:0033561,373.1202079999999,242.485295350488,247.4651137893,2384.2156995408,5263.510878165601,3930.43293951,194.703287911,237.30590645358,704.08690441781,111.775386164563,324.70026078096,1072.35633569073,283.52904391296,81.89061616770098,280.16856361767,299.21761830358,549.7583716867599,142.376339317972,868.46563849668
GO:0034433,287.525974,61.02915375853699,132.748635185661,1867.86686102698,4486.8057763014,11.32672914681,165.526959694,89.506418801772,676.4730863350701,72.72494574103901,170.918210482064,912.00786155088,146.329874053344,80.425380700566,85.20064556581501,268.53086769932,147.61596032312,14.588005977132,486.1268900287801
GO:0034434,287.525974,61.02915375853699,132.748635185661,1867.86686102698,4486.8057763014,11.32672914681,165.526959694,89.506418801772,676.4730863350701,72.72494574103901,170.918210482064,912.00786155088,146.329874053344,80.425380700566,85.20064556581501,268.53086769932,147.61596032312,14.588005977132,486.1268900287801
GO:0034435,287.525974,61.02915375853699,132.748635185661,1867.86686102698,4486.8057763014,11.32672914681,165.526959694,89.506418801772,676.4730863350701,72.72494574103901,170.918210482064,912.00786155088,146.329874053344,80.425380700566,85.20064556581501,268.53086769932,147.61596032312,14.588005977132,486.1268900287801
GO:0044126,927.597078,1658.48500625224,1182.62510750307,4618.388773447599,7234.626407334301,2454.02586198,804.344876874,2937.6309525696,2226.69226180903,631.26468068855,1106.74810669752,2393.7219675882,1303.3015925664,2879.7604521587,1102.51931351289,2702.351039371,3008.47886425,285.67390995264,1956.5417616507
GO:0044130,885.3966859999999,1592.84810374202,1086.19534231032,4541.6373792954,7039.0989951867,2454.02586198,748.198749312,2679.115315605,2188.27861982986,565.81335765676,1065.75224692184,2276.0604585627,1259.55960284064,2836.9954352256,1018.53339466749,2598.2697898318,2928.3402386088,250.8399920526,1647.2474767539
GO:0044144,927.597078,1658.48500625224,1182.62510750307,4618.388773447599,7234.626407334301,2454.02586198,804.344876874,2937.6309525696,2226.69226180903,631.26468068855,1106.74810669752,2393.7219675882,1303.3015925664,2879.7604521587,1102.51931351289,2702.351039371,3008.47886425,285.67390995264,1956.5417616507
GO:0044146,885.3966859999999,1592.84810374202,1086.19534231032,4541.6373792954,7039.0989951867,2454.02586198,748.198749312,2679.115315605,2188.27861982986,565.81335765676,1065.75224692184,2276.0604585627,1259.55960284064,2836.9954352256,1018.53339466749,2598.2697898318,2928.3402386088,250.8399920526,1647.2474767539
GO:0045940,1066.9443,1032.19975222813,558.83277031956,3377.197443204599,6210.3004966926,961.398908778,662.3030679575,1111.9544557863,2108.67142212855,448.50309907777,772.58995275584,2247.3218596314,839.26434774336,437.43708473696,1442.24823318459,849.88374672252,997.01806260116,88.895511270648,1339.7991350415
GO:0046949,1592.921584,5447.158817047501,1585.4316656145,3233.4665606522,5920.0035974712,431.6304207599999,854.8943369324999,889.0561896909,1206.37828655515,683.50434462249,1473.44034204968,2413.3965388638,3575.6449958496,954.30088277755,1426.57879003926,1631.52192313014,920.93338877728,75.44695638020801,4840.9069504257
