OG,Pven,Acal,Lhet,Aful,Ajap,Pqin,Tele,Gfla,Asoj,Vvel,Ppup,Btre,Cchi,Csol,Pvin,Lbou,Hheb,Nvit,Tdro
OG0006302,124.3924648983919,175.6821321665754,33.7661133846111,19.36798856655099,34.1470664238556,351.9365893799715,154.8728200283945,9.577819133949552,54.296902722043896,116.0954728580857,67.21143656096963,13.748493289908923,100.7386943675691,16.95200211438033,69.56113668635479,72.20978746459046,92.02349341765677,114.4639783976548,44.63503
OG0006307,141.0874161695961,157.3286239632289,38.02206802001308,21.68608428251692,17.88503691734459,65.46460294088182,481.6335796445902,17.56855659437982,114.44892740592876,386.3077931980641,165.6294165959672,0.0,64.35658439168645,1.846342914796833,113.7453600800927,58.33705219557741,322.8767553250071,122.6814693861796,17.233418
OG0006347,536.4502017996784,8.408584707390313,1.014843805296563,41.68758665781425,32.79535591402735,3.255953215207887,0.0,8.688579147816322,4.161971596566848,23.09531190142802,1.656133960434572,1.7116079586923358,2.70253100788553,0.0,2.475271700119907,0.6717348127933302,55.87927480271157,0.0,0.0
OG0006402,218.3236776548377,20.92053735938771,0.055642844455395,64.85922433802384,40.35041987712043,0.0,87.48454401210934,0.1902671960686721,14.71904863347974,2.99182707341092,102.741200724722,0.3794606609568136,8.31720761706603,0.3155088112824419,312.9626371576418,5.300992320313351,1.552528465994705,75.1997229505719,33.989456
OG0006584,223.0204678284967,451.3550397019842,55.37701812345811,159.7944028904392,246.2111345245619,352.5981176460446,373.8547521986011,641.7058736859077,164.17071698873406,55.63355116111831,168.5581443237334,13.387381259000914,116.8910256323309,27.40696714897167,150.7126944285848,129.0360591950187,152.7402509510786,206.4118887362917,354.69334
OG0006662,112.9426377321269,527.7726021834598,507.0955543786214,122.5770857114137,224.6669229885394,66.64197660673447,888.0825680383093,1375.103446215613,123.22338239952758,84.51820890837185,134.3887344843368,69.59987055625702,529.8850889166694,4.453936847005265,61.09002389111216,437.0901575829483,439.7667641017388,355.0439359120741,182.59785
OG0006697,1.235337493913106,3.815237039061672,0.0,0.06867022080244,0.0,0.0,7.897573232762632,0.0,0.2388231115908583,20.03663353324139,0.5958986680068314,0.0,4.28958780781832,0.3722955801471649,1.522230316745947,0.2112714330559668,60.10583537621297,1.650283725245564,0.0
OG0006721,60.48721791476169,151.7460528666125,34.82417724471344,63.68023916064966,72.61300146209757,278.985554393501,112.2446201006256,20.887603631922,30.561363280612863,87.56664412579688,114.1178587068298,22.573430671170385,81.66885436866197,6.40190812422373,66.5787891036047,57.49006321941489,1047.37653272838,43.73012036770901,58.00167
OG0006748,1300.498033371855,6.305477189763458,39.34440585534208,0.0847102073615604,0.276734831510198,551.6544096017565,35.52043249952113,0.92906396650452,8.71315998795287,4.703706488682792,0.7486632971827512,1.0370364267196772,23.89885263836031,0.4085232661313095,8.20005706237398,79.96060023887551,5.881385688641637,181.3200878529363,5.060228
OG0006782,90.84217244178748,105.8333066416085,63.78239170659035,34.46638024052583,58.26470758246834,88.88719537599509,174.2861755235389,1199.49383286144,238.24785533389564,9.42739346352914,54.19170393711837,8.356441953842635,96.4078868762744,16.67284547132288,17.35507572506826,204.5698363061019,366.7966730887059,412.1089096210326,299.174046
OG0006833,181.2926402178256,296.7659477730247,56.36340482588148,83.8543569352029,126.5184900563544,153.6172511400247,289.215713094794,459.7029384106306,239.4942138514014,45.99889998471463,119.1251982321961,5.475848470343324,233.4576279773923,71.33805603586272,82.50879065952329,193.9953133402509,245.4785300563672,70.94859360596354,140.063292
OG0006861,110.7596275819978,351.9310223522269,102.752935286277,242.9986226017724,310.330994396109,678.6593370198269,403.6013285431536,134.113157093995,121.36611240888485,27.28527399494336,205.8896169656775,12.32445289536911,81.7692161008218,5.924430166732123,283.3259722498028,135.7444108745664,52.80552793645078,110.1532734846858,0.0
OG0006884,0.610820134469379,0.835750750339707,3.754767259794792,1.492011231470021,0.8053130017492531,0.0,2972.352903188102,0.0,2.618735575186051,225.5782845645777,0.2170433281910199,0.0,90.4331448988248,0.0,24.1494831582265,10.04638683251201,0.9863540942214096,48.72972617916116,0.0
OG0006914,267.4647204154027,589.2125435161656,185.773370603191,428.9820164749193,634.4916415292508,160.0059885648379,673.4148117972691,345.2178733593652,258.4506552248174,161.1338883868792,477.5200767780591,11.62779610059016,115.0126310896863,54.50877168743065,291.3153059867195,232.6615443799131,173.0806395530857,777.121748479265,62.011662
OG0000267.fa.orthosnap.1.fa,2089.784679797786,3838.698062063712,1059.948952819318,3509.152969172829,5187.888840268244,5999.003915876868,9205.357961902351,1077.370488287584,2306.558532736484,13177.42649823495,4209.65190953403,642.2429009278576,1531.029410815449,379.4021703705426,2040.235735548954,1724.566325316765,3676.01786333724,486.930149729911,6708.668877999999
OG0000354.fa.orthosnap.1.fa,409.1308074258686,352.8892168563597,71.19108264236391,84.74005344498323,136.860287877078,885.6294650605747,385.1868151884509,148.7975452244554,158.21098803278383,151.4581372551012,233.0080389962365,2.383008631046877,227.593794126446,1.570601459809551,116.1902056312057,378.5086450440087,225.2517127420431,87.67057603377314,0.0
OG0000482.fa.orthosnap.1.fa,130.1574959379706,454.4917350088234,61.71463599033837,231.0575956941719,440.2468759656531,67.73499164615492,332.7761492819398,81.48149524822138,259.5549933995828,33.02550953438763,79.79253421373767,17.163774111641438,165.6058269319908,541.2445606587523,154.5586306327019,388.3983012980436,173.5453704196602,35.0565686213962,136.53068
OG0000504.fa.orthosnap.0.fa,80.92693616091248,205.8713333251195,0.3749761856858477,1160.853413142394,1748.124048381236,0.0,378.7310265524805,11.1115433440263,201.44519960896045,349.1591036607997,1.780699774696802,0.516667779105326,11.97073724502133,0.0,536.3160401374913,0.8830671134474108,201.2640840874415,2.484028841026722,92.707196
OG0000576.fa.orthosnap.0.fa,62.90708915096556,549.7257627543139,4.52044608465031,0.0,0.3085064643085081,0.0,832.097247583124,39.01946414060217,1381.263842794312,903.698045295836,10.22529161377989,0.0,128.2544001170823,139.9431890033848,29.30412283979451,7.613694268754407,791.7521665982794,1.639057305345934,640.214318
