OG,Acal,Aful,Ajap,Asoj,Btre,Cchi,Csol,Gfla,Hheb,Lbou,Lhet,Nvit,Ppup,Pqin,Pven,Pvin,Tdro,Tele,Vvel
OG0004318,477.7744377003647,45.20055016420227,52.02607847228904,13.114544564019145,1.2476538789455351,88.01005584890405,17.01612923667913,16.4324061654032,49.65801608470276,23.44983820505911,3.95249933383954,15.29020392061188,34.07258148026231,32.13643990231161,31.78481385212636,960.6405102812536,0.0,4407.724776781881,60.3816806754453
OG0004320,176.5639201787627,101.0286593051572,273.9649779421832,63.079053958087314,4.575516651966289,137.741468177468,30.01171263816375,80.90481095134216,54.52791963939784,36.72746684669762,69.86712430649837,63.02227044332883,129.0886063966884,294.772648830489,51.38312981246881,143.6094182540848,160.733846,720.4966689379872,80.10343734516947
OG0004350,2889.265234107239,1661.320985240447,1832.084765462647,3532.9997971115363,112.84688225884,2629.168779513578,1146.174149384853,11799.36350587172,2513.56249966297,3533.339407522958,1922.884101521371,1175.93185873912,1375.649855072111,4451.762688197633,1356.980986478522,1132.662145484852,0.0,2191.614264231689,706.3200007652222
OG0004421,192.4621473837534,31.7488429057355,25.7960183093625,80.8716108370318,1.099394537046584,347.2918484334216,335.412691798726,47.26554620137789,49.87469600143712,842.0505229922915,39.62215075246407,38.63174610857607,75.51201191181988,232.1532519727144,43.88401993484738,65.93289124476372,283.08634,355.2755262061854,5.77322261830589
OG0004423,373.3142872510344,139.4867261273871,216.3242065890357,323.2873708211261,86.3595361216799,383.1122935084194,30.79011795071497,106.7273103547208,318.6434050383837,80.6955526353877,35.34028804574282,110.4565571506673,150.2590278762887,566.2483004950766,243.560762110731,154.0831260380098,0.0,340.0387138793936,700.7595965608688
OG0004463,235.8170579865315,133.5847389242824,149.4722878400594,79.54888673367395,56.60178742043162,412.0518339642038,48.73258054637677,266.1689845656604,217.8653121846219,119.6824552291873,60.5438330578484,189.8657242605031,221.6143477039713,679.4405026234673,174.4942345765683,156.9635278616302,111.46823,362.4845353680699,109.9340631500392
OG0004481,59.48201043750673,23.99418303332318,23.20126623445714,12.919446023888517,15.710825624047384,81.14007258643683,80.26717198592749,30.39497378851811,26.06802378473402,35.76686200813335,11.44031659469273,15.97299599506254,32.07140877611889,160.3599631556264,47.12500740501532,129.1507963709151,49.64752,83.36407089987024,65.16363807196082
OG0004487,100.2589647725375,16.76366266690956,26.11576703809429,47.42719076533724,4.680117780140307,131.1031193993912,5.949963437642928,3.500994546142447,190.2507188828991,42.21010437234119,21.08581438186117,92.3517845310882,228.2389292089399,212.808245500598,315.4589257191226,175.3466428184011,49.79073399999999,191.8206665949423,46.92808450540269
OG0004505,45.9900961558658,2.0272478038725,0.7953519387023996,1.3784537647719466,0.0,13.28618596055461,113.2654557655391,2.348174229746684,18.72248938499803,879.2999343826625,80.38198278956007,4.228823081400095,12.33854237683481,6.885809578157107,12.1838800720248,19.6837480619519,7.733556000000001,118.1741945844371,147.6794501878401
OG0004511,645.9194486060337,747.2696985435805,861.4684091496758,494.0782877749815,32.36875697320579,396.297539542947,38.02750784866507,1032.622579565933,171.4593174151906,579.6928512105841,241.6296003400435,1296.798790290662,278.5247772484036,343.105364136192,215.2621092583887,516.7748491925347,514.758854,2546.371522695008,84.70680751984145
OG0004516,422.323847260781,471.1807074432726,515.2541239578702,0.7480340663094819,100.2316935688693,103.0912851721484,0.0,234.5640054672476,73.27988161151872,437.1227730488052,104.710472786547,44.08992576825744,242.417844136379,121.7031056169943,600.6865734096904,271.8309931454111,0.0,254.6302572774638,204.3314627054201
OG0004668,156.7694975700536,17.14080056912854,32.72499198017417,23.159358502477765,10.02874941296258,21.50816152358676,2.918034347581829,76.45556552069343,0.0,17.15058523087378,5.169064241931083,11.89315971561989,21.57911715080163,22.03121970208845,12.52209026600273,223.6339076278674,0.0,11.97605307956317,71.57433918388503
OG0004680,663.8388781201633,533.1876732717103,643.668170562848,365.7748288775266,15.892644135304494,102.7343766177833,19.16673392214983,12.74524105693573,439.3771131251565,210.222463003731,90.78163163335854,229.7797999532522,316.239312641443,292.5931015552961,249.9669488825565,305.3633191942776,0.0,378.9528965941779,100.1805028904554
OG0004688,452.4629831074495,359.2276590617231,574.2515561738069,202.69401931133984,77.27589519414879,384.3535766037494,9.363355505923469,124.2365615422394,183.0793362863329,298.9394620392672,239.5856605856559,295.2794203245903,299.6263742108256,587.4724283309401,339.3281479296637,173.7355125211083,59.720238,543.9863948417559,79.71079984534788
OG0004699,142.0053169809489,237.4312580686631,258.7085076532288,561.2554625222706,177.9165938768826,548.3485594620591,45.38963688609925,455.0199595790749,267.61608701004,340.5695500862187,91.37374340721216,548.3477659575816,210.8955535904484,411.4177324837128,184.8017310072479,198.8647384827669,164.027768,584.8537493083046,199.7542376452917
OG0004728,75.3804125412424,20.05675190662644,49.54513602954827,27.08622876213171,0.88547945764864,22.11808272243159,80.01174856012715,25.61675984784562,7.201800707090285,22.58847920359896,3.714582289684205,0.318537049029418,17.07972560592243,52.77466677355241,20.71891281552228,190.2643018299415,0.0,155.8321463611926,34.39511913830452
OG0004729,510.3915850241637,95.55712227327378,132.8739536963419,111.5750004497692,90.39032320985352,178.3356582392847,45.07626189653425,46.61008112553662,105.3423210353985,398.7627077617305,53.21577971456482,104.9465439345016,326.31299471702,1020.510656960227,1217.566501028917,518.2792457427082,166.175978,258.03725922452,421.2799255482824
OG0004755,129.5182237988236,199.6021627462923,483.7330491187983,443.0538173767933,36.06097497792278,65.25855675361369,26.90818517509425,209.3350492170447,67.39857800470787,155.8843275540231,117.1393904204825,93.71048687529596,89.48583168633839,228.7181110235564,91.3872902650321,97.34753982389164,110.465732,184.0506831019386,39.35914333300002
OG0004791,114.4841237196938,52.53586892399521,71.58714708829883,459.529428930751,3.5922588778095434,105.3589662044789,181.5618949861816,7.791785535390549,80.63444720260017,83.45996913721896,26.6083974246136,20.5102466569498,39.08470236052511,220.1013224553625,61.68102758129454,32.91713955152583,65.019156,128.419171705713,63.67499644623888
OG0004800,13.56476437919324,0.325472374686905,0.0,70.72469412094433,3.789992159704868,35.15989665546972,1.153911276594773,1.211141218985412,53.07798522484511,205.4926098119158,444.266329888002,45.97488321405078,8.023138689981828,0.9125510339635255,725.541862809169,74.81055920008757,198.924246,11.19445803647589,213.904591956517
