GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0009892,291836.285758,532611.67197381,223859.44477083,342145.47569472,363159.93617865,174220.2734349,115113.7399866,239269.18911954,646983.6589587,254928.39262302,371730.67792912,509190.18134802,342588.56041728,79114.019630646,300639.3873178799,382407.81294708,281196.78066392,44689.579059332,201865.25418591
GO:0010467,361898.865982,668687.37888022,261112.22362005,373864.9800741,473124.72003264,157142.0500881,242573.913767,220900.93444314,839674.3568760701,318142.29806161,478168.88678216,577597.46006586,412163.48039136,79961.105770425,329467.68375573,217667.289925248,343386.52340836,46956.281467436,146626.86405423
GO:0010468,296654.100194,561046.88149272,238235.92967262,371784.9567115,392645.42120412,187562.097954,129659.5788024,299464.7150733,683024.8288907199,264839.20738959,414811.35006304,551041.07619615,364804.7797353601,107873.11513374,366882.88780689,306654.0577903599,301255.7598978,49542.613002788006,224399.68148451
GO:0010556,157698.473008,283355.964816684,119722.230555444,239851.64372386,255029.99185539,148691.5969539,79732.42170695,219275.59240326,279328.727885902,124721.962831087,225514.00497832,288058.76016216,198212.063580672,115772.21742185,243133.01526345,232383.66298316,146302.77050224,33717.100032144,178721.31747435
GO:0010558,78228.928932,136306.097073196,56477.458448334,102708.053007506,123034.758780834,80880.4981215,33727.8151114,87311.746032876,124509.283734158,56998.814400009,82520.48249872,133936.390882338,98638.77389539202,50722.062770159,101046.956078523,64601.224809184,63044.59634860801,15161.318021256,97562.517109491
GO:0010605,267295.421146,504382.31605694,210186.28914822,301470.59461456,323401.77644472,163284.0094578,107893.79221235,222598.51594032,623256.3103061899,238919.851344168,353650.6749156,477199.5176271599,325380.09709824,66376.89993447701,284334.55556142,368079.56937252,266818.47346776,40399.323311888,180285.113253
GO:0010629,251936.483454,475805.75673542,187998.38011383,262561.94104466,277936.25277951,130380.7463805,99041.7268219,194008.96926228,600038.3261475799,228420.244753854,336524.2219659199,438420.33856509,300754.14029664,56635.790346454,257805.70101858,159629.026271446,251404.43760916,36254.434832104,149309.93230713
GO:0015031,238812.161542,429909.80787352,151359.02576553,244515.53567406,240282.19688823,115654.9730028,92640.9994146,146965.5187233,566608.81072861,227167.343094122,308464.92557288,404012.91063333,278286.19696128,31712.003996442,206972.22017667,149199.61546937,239966.41646176,31086.617149852,89146.037871198
GO:0015833,239941.738098,429913.08057182,151695.86276592,245124.18470048,240878.17041597,115766.7759402,93164.0703406,147447.8266836,567028.45068634,227794.246583828,308788.09534696,405077.32613946,278455.04743968,31760.171057296,207275.90674635,149563.139670316,240563.41449192,31122.899622108,89271.445928889
GO:0015931,16049.27691,27520.4077150202,9347.0511274965,32419.54574612,35604.894017556,21334.18701645,8812.67061266,18933.11988507,27749.5609645621,12665.557487038,20176.757395792,29083.154208426,18729.7755056544,12218.822666732,16971.6907370673,14559.4754727126,18066.18929272,4147.7808141204005,17457.219684639
